ActualPower;Max Capacity;Location 1;Location 3;Location 5;Location 7
1.3196202278518978;45.0;2.9;4.442;4.495;4.681
1.2556160374777743;45.0;3.5;4.281000000000001;4.335;4.522
1.295274962732722;45.0;4.0;4.096;4.1530000000000005;4.341
1.3560928523867692;45.0;4.2;3.905;3.96;4.143
1.4194873284756546;45.0;2.9;3.725;3.773;3.948
1.2615811169462494;45.0;5.0;3.5389999999999997;3.5780000000000003;3.741
0.6413274318301488;45.0;5.8;3.3689999999999998;3.4;3.543
0.19803085049913455;45.0;6.1;3.1180000000000003;3.145;3.253
0.17814618538347404;45.0;5.1;2.824;2.852;2.9360000000000004
0.13627761829254775;45.0;5.2;2.6919999999999997;2.73;2.8
-0.21815600980317063;45.0;6.1;2.553;2.6060000000000003;2.677
-0.898942093539542;45.0;6.1;2.365;2.443;2.535
-1.9805015938249322;45.0;5.5;0.9640000000000001;1.1440000000000001;1.244
-0.3438997524500094;45.0;5.1;1.079;1.308;1.4040000000000001
0.060153922819747144;45.0;4.8;1.148;1.386;1.506
-0.1232982163444936;45.0;4.7;0.46799999999999997;0.14;0.046
-0.27049724769768;45.0;4.9;0.486;0.177;0.16399999999999998
-0.9728610833625495;45.0;4.1;0.451;0.27;0.309
-0.6348782724359695;45.0;3.9;0.446;5.164198142414861;0.41600000000000004
-0.39156220293917304;45.0;4.1;0.5379999999999999;0.396;0.524
-0.31471074483970024;45.0;3.1;0.662;0.43700000000000006;0.603
-0.19967119512906756;45.0;3.5;0.777;0.499;0.6809999999999999
-0.15431736038435728;45.0;2.5;0.884;0.609;0.8059999999999999
-0.01816397062767118;45.0;0.1;0.93;0.679;0.887
0.051643233151838386;45.0;0.4;0.943;0.728;0.9279999999999999
0.03922071315328133;45.0;1.5;0.91;0.72;0.9059999999999999
0.20620083058389785;45.0;1.1;0.826;0.636;0.7829999999999999
0.1570037488096647;45.0;0.0;0.6940000000000001;0.496;0.591
0.5001690435774618;44.85648148148148;0.7;0.505;0.307;0.384
0.9238619973704731;45.0;2.1;0.32799999999999996;0.124;0.284
1.0181250377554232;45.0;1.7;0.27699999999999997;0.14;0.344
1.2756420910162958;45.0;2.7;0.293;0.33;0.541
1.383039068399218;45.0;1.9;0.431;0.588;0.831
1.4877221537500038;45.0;2.9;0.6709999999999999;0.872;1.119
1.3865443298750981;45.0;2.6;0.992;1.237;5.182929012345678
1.5067405141957577;45.0;3.0;1.389;1.6440000000000001;1.8940000000000001
1.4473894604797015;45.0;3.5;1.749;2.095;2.158
1.498282863067938;45.0;3.3;1.966;2.349;2.35
1.86470009362977;45.0;3.3;2.165;2.583;2.556
2.2437900464835403;45.0;4.2;2.6189999999999998;3.179;3.0469999999999997
2.3851783912978988;45.0;3.1;2.918;3.455;3.281
2.6986057422742102;45.0;3.7;3.3110000000000004;3.735;3.522
3.003253914952837;45.0;3.4;3.761;4.011;3.733
2.937308353416274;45.0;3.5;3.9760000000000004;4.151;3.8680000000000003
2.7237266804872178;45.0;3.5;4.06;4.1419999999999995;3.865
2.7541701367157634;45.0;3.8;4.085;4.08;3.7880000000000003
2.8199492935996187;45.0;3.9;4.118;4.063;3.7430000000000003
2.8016012588005386;45.0;3.5;4.2219999999999995;4.154;3.8310000000000004
2.9377323292560025;45.0;4.0;4.401;4.32;4.063
3.1274620442318852;45.0;4.6;4.61;4.496;4.368
3.1669928829885206;45.0;3.9;4.815;4.658;4.5680000000000005
3.3069965862633284;45.0;3.4;5.074;4.878;4.768
3.0723228757157033;45.0;6.780555555555556;5.426;5.164198142414861;5.073
3.0301337002713233;45.0;6.1;5.768;5.6160000000000005;5.46
3.183497320966384;45.0;7.2;5.995;5.922999999999999;5.841
3.192901391095965;45.0;6.6;6.098;6.098;6.1370000000000005
3.032787181505002;45.0;7.6;6.146;6.186;6.3260000000000005
2.8948616631690167;45.0;7.4;6.202000000000001;6.257999999999999;6.445
2.6738727493006236;45.0;7.9;6.274;6.337999999999999;6.54
2.1290646921531597;45.0;6.0;6.356;6.4270000000000005;6.627000000000001
2.2103601489515285;45.0;6.6;6.452000000000001;6.526;6.707999999999999
2.1992225799988923;45.0;7.5;6.575;6.638;6.7829999999999995
2.160791087376159;45.0;7.7;6.727;6.7620000000000005;6.859
2.3167838123938584;45.0;7.3;6.881;6.877000000000001;6.928
2.5623305467528037;45.0;7.4;6.985;6.949;6.962999999999999
2.5260485931191754;45.0;7.9;7.034;6.98;6.977
2.4710612429659475;45.0;8.1;7.035;6.977;6.975
2.516970402634356;45.0;6.8;7.022;6.976;6.992999999999999
2.5952547069568657;45.0;7.8;7.024;6.992000000000001;7.039
2.698269189247105;45.0;8.7;7.028;7.006;7.082000000000001
2.4805639003538635;45.0;8.4;7.042999999999999;7.031000000000001;7.131
2.3814886905895114;45.0;8.3;7.079;7.074;7.187
2.149666986569333;45.0;7.4;7.131;7.143;7.256
1.9534464609998723;45.0;6.7;6.731;6.821000000000001;6.986000000000001
1.5520206415641498;45.0;6.2;6.712999999999999;6.7010000000000005;6.822
1.2817668317659563;45.0;8.9;7.138;7.156000000000001;7.143
1.2395329797244867;45.0;7.9;7.251;7.274;7.291
1.1387940783009416;45.0;5.7;7.357;7.374;7.407
1.143585654310841;45.0;5.4;7.397;7.4239999999999995;7.456
1.319352955366009;45.0;6.0;7.434;7.438;7.457000000000001
1.3389406647364204;45.0;6.8;7.507999999999999;7.494;7.501
1.6910178994265233;45.0;6.8;7.597;7.566;7.568
1.5306111318881295;45.0;5.8;7.707999999999999;7.667999999999999;7.672999999999999
1.4648744612427478;45.0;5.7;7.789;7.757000000000001;7.775
1.421661504957182;45.0;6.6;7.843;7.824;7.859
1.5464981126602262;45.0;6.3;7.8870000000000005;7.879;7.928
1.5186375481076038;45.0;6.1;7.934;7.932;7.984
1.713437502452585;45.0;7.0;7.959;7.972;8.024
1.671097292820828;45.0;5.2;7.952999999999999;7.974;8.025
1.6331544390514163;45.0;5.1;7.9479999999999995;7.965;8.016
1.6388025210640043;45.0;4.8;7.94;7.96;8.009
1.5841201044498106;45.0;5.6;7.858;7.88;7.941
1.4279160358107101;45.0;5.3;7.6579999999999995;7.667000000000001;7.769
1.1278474139364447;45.0;5.5;7.285;7.277;7.403
1.1144856378244;45.0;5.0;7.024;7.155;7.211
1.1990607599649152;45.0;4.5;7.3260000000000005;7.422000000000001;7.327000000000001
1.2817668317659563;45.0;4.7;7.336;7.5;7.597
1.4976120972518436;45.0;5.2;7.156000000000001;7.361000000000001;7.537000000000001
1.6567031049012149;45.0;5.0;6.92;7.127000000000001;7.349
1.6928595205731727;45.0;5.5;6.691;6.881;7.122999999999999
1.8911522131060898;45.0;5.5;6.5;6.671;6.904
2.224623551524334;45.0;5.5;6.36;6.507000000000001;6.718999999999999
2.2161553649956582;45.0;5.2;6.27;6.3870000000000005;6.57
1.9491904771768833;45.0;5.5;6.218;6.317;6.476
1.5642313195960211;45.0;6.0;6.2;6.295;6.438
1.4664909031141673;45.0;5.0;6.194;6.305;6.439
1.7752912765207476;45.0;4.5;6.185;6.331;6.462000000000001
1.9830682970222462;45.0;4.8;6.144;6.335;6.473
2.14159440690192;45.0;4.8;6.07;6.292999999999999;6.434
2.2899050398366714;45.0;4.3;5.987;6.223;6.359
2.4724966297113187;45.0;4.4;5.917999999999999;6.1579999999999995;6.279
2.652114568771907;45.0;4.3;1.495;1.308;1.774
2.8372053653257536;45.0;4.3;1.504;1.311;1.781
3.2713164608076353;45.0;4.8;1.507;1.335;1.804
3.3689840592975036;45.0;5.0;1.466;1.297;1.784
3.338222082500642;45.0;4.5;1.4240000000000002;1.23;1.736
3.3121475648286447;45.0;4.5;1.453;1.204;1.706
3.2753695734226653;45.0;4.9;1.536;1.222;1.705
3.1977747549601467;45.0;4.6;1.653;1.3359999999999999;1.7890000000000001
3.1652218515325674;45.0;4.8;1.749;1.444;1.831
3.0184228834736895;45.0;4.6;1.806;1.444;1.685
2.8429889362887923;45.0;4.7;2.174;1.551;1.476
3.0713498200125797;45.0;5.9;2.498;1.817;1.53
3.2329759492469825;45.0;5.5;2.8939999999999997;2.224;1.825
3.4620415872114547;45.0;6.4;3.489;3.1180000000000003;2.5
3.561472128197374;45.0;8.0;3.872;3.685;3.089
3.596846398666972;45.0;8.1;4.197;4.155;3.792
3.5663727796211395;45.0;6.8;4.448;4.454;4.229
3.640607905440237;45.0;8.1;4.649;4.635;4.5169999999999995
3.6256201144747453;45.0;9.1;4.851;4.783;4.727
3.573468602602609;45.0;8.9;5.1579999999999995;5.002;4.986000000000001
3.6356896255998175;45.0;9.1;5.782;5.535;5.522
3.626232476213286;45.0;9.2;6.656000000000001;6.44;6.3420000000000005
3.496356034835385;45.0;7.9;7.352;7.307;7.091
3.478281871968245;45.0;8.5;7.69;7.729;7.454
